Career Pathway,Code,Occupation
Natural Resources Systems,47-5042.00,Mine Cutting and Channeling Machine Operators
Natural Resources Systems,53-7111.00,Mine Shuttle Car Operators
Natural Resources Systems,11-9121.00,Natural Sciences Managers
Natural Resources Systems,19-1031.03,Park Naturalists
Natural Resources Systems,51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers"
Natural Resources Systems,51-8099.00,"Plant and System Operators, All Other"
Natural Resources Systems,19-4099.02,Precision Agriculture Technicians
Natural Resources Systems,53-7072.00,"Pump Operators, Except Wellhead Pumpers"
Natural Resources Systems,19-1031.02,Range Managers
Natural Resources Systems,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary"
Natural Resources Systems,39-9032.00,Recreation Workers
Natural Resources Systems,53-7081.00,Refuse and Recyclable Material Collectors
Natural Resources Systems,47-5051.00,"Rock Splitters, Quarry"
Natural Resources Systems,47-5061.00,"Roof Bolters, Mining"
Natural Resources Systems,47-5012.00,"Rotary Drill Operators, Oil and Gas"
Natural Resources Systems,47-5071.00,"Roustabouts, Oil and Gas"
Natural Resources Systems,51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood"
Natural Resources Systems,47-5013.00,"Service Unit Operators, Oil, Gas, and Mining"
Natural Resources Systems,53-5021.01,Ship and Boat Captains
Natural Resources Systems,19-1031.01,Soil and Water Conservationists
Natural Resources Systems,53-7121.00,"Tank Car, Truck, and Ship Loaders"
Natural Resources Systems,53-7073.00,Wellhead Pumpers
Natural Resources Systems,19-1023.00,Zoologists and Wildlife Biologists
Plant Systems,19-4011.00,Agricultural and Food Science Technicians
Plant Systems,25-1041.00,"Agricultural Sciences Teachers, Postsecondary"
Plant Systems,19-4011.01,Agricultural Technicians
Plant Systems,19-1011.00,Animal Scientists
Plant Systems,11-9013.03,Aquacultural Managers
Plant Systems,19-1021.00,Biochemists and Biophysicists
Plant Systems,19-3011.00,Economists
Plant Systems,25-9021.00,Farm and Home Management Advisors
Plant Systems,11-9013.02,Farm and Ranch Managers
Plant Systems,49-3041.00,Farm Equipment Mechanics and Service Technicians
Plant Systems,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers"
Plant Systems,45-2092.02,"Farmworkers and Laborers, Crop"
Plant Systems,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse"
Plant Systems,45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals"
Plant Systems,45-1011.07,First-Line Supervisors of Agricultural Crop and Horticultural Workers
Plant Systems,45-1011.08,First-Line Supervisors of Animal Husbandry and Animal Care Workers
Plant Systems,45-1011.06,First-Line Supervisors of Aquacultural Workers
Plant Systems,45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
Plant Systems,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
Plant Systems,45-1011.05,First-Line Supervisors of Logging Workers
Plant Systems,41-1011.00,First-Line Supervisors of Retail Sales Workers
Plant Systems,27-1023.00,Floral Designers
Plant Systems,19-4011.02,Food Science Technicians
Plant Systems,19-1012.00,Food Scientists and Technologists
Plant Systems,19-1032.00,Foresters
Plant Systems,37-3019.00,"Grounds Maintenance Workers, All Other"
Plant Systems,37-3011.00,Landscaping and Groundskeeping Workers
Plant Systems,11-9013.01,Nursery and Greenhouse Managers
Plant Systems,45-2092.01,Nursery Workers
Plant Systems,37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation"
Plant Systems,41-2031.00,Retail Salespersons
Plant Systems,19-1013.00,Soil and Plant Scientists
Plant Systems,19-1031.01,Soil and Water Conservationists
Plant Systems,37-3013.00,Tree Trimmers and Pruners
"Power, Structural and Technical Systems",45-2091.00,Agricultural Equipment Operators
"Power, Structural and Technical Systems",25-1041.00,"Agricultural Sciences Teachers, Postsecondary"
"Power, Structural and Technical Systems",49-3011.00,Aircraft Mechanics and Service Technicians
"Power, Structural and Technical Systems",49-3041.00,Farm Equipment Mechanics and Service Technicians
"Power, Structural and Technical Systems",49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines"
"Power, Structural and Technical Systems",41-2022.00,Parts Salespersons
