Career Pathway,Code,Occupation
Performing Arts,27-3043.05,"Poets, Lyricists and Creative Writers"
Performing Arts,27-2012.01,Producers
Performing Arts,27-2012.00,Producers and Directors
Performing Arts,27-2012.03,Program Directors
Performing Arts,27-3012.00,Public Address System and Other Announcers
Performing Arts,27-1027.00,Set and Exhibit Designers
Performing Arts,27-2042.01,Singers
Performing Arts,27-2012.04,Talent Directors
Performing Arts,27-2012.05,Technical Directors/Managers
Performing Arts,27-3043.00,Writers and Authors
Printing Technology,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary"
Printing Technology,27-1012.00,Craft Artists
Printing Technology,43-9021.00,Data Entry Keyers
Printing Technology,43-9031.00,Desktop Publishers
Printing Technology,51-9194.00,Etchers and Engravers
Printing Technology,27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators"
Printing Technology,27-1014.00,Multimedia Artists and Animators
Printing Technology,51-5111.00,Prepress Technicians and Workers
Printing Technology,51-5113.00,Print Binding and Finishing Workers
Printing Technology,51-5112.00,Printing Press Operators
Printing Technology,43-9081.00,Proofreaders and Copy Markers
Telecommunications,27-4012.00,Broadcast Technicians
Telecommunications,49-9091.00,"Coin, Vending, and Amusement Machine Servicers and Repairers"
Telecommunications,43-2099.00,"Communications Equipment Operators, All Other"
Telecommunications,49-2011.00,"Computer, Automated Teller, and Office Machine Repairers"
Telecommunications,49-2097.00,Electronic Home Entertainment Equipment Installers and Repairers
Telecommunications,27-4032.00,Film and Video Editors
Telecommunications,27-3099.00,"Media and Communication Workers, All Other"
Telecommunications,49-2021.01,Radio Mechanics
Telecommunications,27-4013.00,Radio Operators
Telecommunications,27-4014.00,Sound Engineering Technicians
Telecommunications,49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers"
Telecommunications,49-9052.00,Telecommunications Line Installers and Repairers
Visual Arts,27-1011.00,Art Directors
Visual Arts,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary"
Visual Arts,27-1019.00,"Artists and Related Workers, All Other"
Visual Arts,27-4011.00,Audio and Video Equipment Technicians
Visual Arts,27-1021.00,Commercial and Industrial Designers
Visual Arts,27-1012.00,Craft Artists
Visual Arts,27-1029.00,"Designers, All Other"
Visual Arts,27-1022.00,Fashion Designers
Visual Arts,27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators"
Visual Arts,27-1024.00,Graphic Designers
Visual Arts,27-1025.00,Interior Designers
Visual Arts,53-4011.00,Locomotive Engineers
Visual Arts,53-4012.00,Locomotive Firers
Visual Arts,53-5022.00,Motorboat Operators
Visual Arts,27-1014.00,Multimedia Artists and Animators
Visual Arts,51-9123.00,"Painting, Coating, and Decorating Workers"
Visual Arts,27-4021.00,Photographers
Visual Arts,51-9151.00,Photographic Process Workers and Processing Machine Operators
Visual Arts,51-5111.00,Prepress Technicians and Workers
Visual Arts,27-1027.00,Set and Exhibit Designers
