Career Pathway,Code,Occupation
Administrative and Information Support,43-5071.00,"Shipping, Receiving, and Traffic Clerks"
Administrative and Information Support,43-5081.00,Stock Clerks and Order Fillers
Administrative and Information Support,43-2011.00,"Switchboard Operators, Including Answering Service"
Administrative and Information Support,43-2021.00,Telephone Operators
Administrative and Information Support,43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
Administrative and Information Support,43-9022.00,Word Processors and Typists
Business Analysis,13-2031.00,Budget Analysts
Business Analysis,11-3021.00,Computer and Information Systems Managers
Business Analysis,15-1199.00,"Computer Occupations, All Other"
Business Analysis,15-1131.00,Computer Programmers
Business Analysis,15-1141.00,Database Administrators
Business Analysis,13-1199.01,Energy Auditors
Business Analysis,25-1032.00,"Engineering Teachers, Postsecondary"
Business Analysis,13-1111.00,Management Analysts
Business Analysis,11-9121.00,Natural Sciences Managers
Business Analysis,15-2031.00,Operations Research Analysts
Business Analysis,13-1199.05,Sustainability Specialists
Business Financial Management and Accounting,13-2011.01,Accountants
Business Financial Management and Accounting,13-2011.00,Accountants and Auditors
Business Financial Management and Accounting,13-2011.02,Auditors
Business Financial Management and Accounting,43-3021.00,Billing and Posting Clerks
Business Financial Management and Accounting,43-3021.02,"Billing, Cost, and Rate Clerks"
Business Financial Management and Accounting,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks"
Business Financial Management and Accounting,43-4011.00,Brokerage Clerks
Business Financial Management and Accounting,13-2031.00,Budget Analysts
Business Financial Management and Accounting,25-1011.00,"Business Teachers, Postsecondary"
Business Financial Management and Accounting,11-1011.00,Chief Executives
Business Financial Management and Accounting,13-2041.00,Credit Analysts
Business Financial Management and Accounting,13-2051.00,Financial Analysts
Business Financial Management and Accounting,13-2061.00,Financial Examiners
Business Financial Management and Accounting,11-3031.00,Financial Managers
Business Financial Management and Accounting,11-3031.02,"Financial Managers, Branch or Department"
Business Financial Management and Accounting,43-3041.00,Gaming Cage Workers
Business Financial Management and Accounting,11-9199.00,"Managers, All Other"
Business Financial Management and Accounting,25-1022.00,"Mathematical Science Teachers, Postsecondary"
Business Financial Management and Accounting,11-9121.00,Natural Sciences Managers
Business Financial Management and Accounting,43-3051.00,Payroll and Timekeeping Clerks
Business Financial Management and Accounting,43-3021.01,Statement Clerks
Business Financial Management and Accounting,43-9111.00,Statistical Assistants
Business Financial Management and Accounting,15-2041.00,Statisticians
Business Financial Management and Accounting,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents"
Business Financial Management and Accounting,13-2082.00,Tax Preparers
Business Financial Management and Accounting,11-3031.01,Treasurers and Controllers
Human Resources,25-1011.00,"Business Teachers, Postsecondary"
Human Resources,11-3111.00,Compensation and Benefits Managers
Human Resources,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists"
Human Resources,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping"
Human Resources,11-3121.00,Human Resources Managers
Human Resources,13-1071.00,Human Resources Specialists
Human Resources,13-1075.00,Labor Relations Specialists
Human Resources,11-3131.00,Training and Development Managers
Human Resources,13-1151.00,Training and Development Specialists
Management,11-3011.00,Administrative Services Managers
Management,11-2011.00,Advertising and Promotions Managers
Management,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes"
Management,11-3051.03,Biofuels Production Managers
Management,11-3051.04,Biomass Power Plant Managers
Management,11-9199.11,Brownfield Redevelopment Specialists and Site Managers
Management,25-1011.00,"Business Teachers, Postsecondary"
Management,11-1011.00,Chief Executives
Management,11-1011.03,Chief Sustainability Officers
Management,25-1122.00,"Communications Teachers, Postsecondary"
Management,11-9199.02,Compliance Managers
Management,11-3021.00,Computer and Information Systems Managers
Management,11-9021.00,Construction Managers
Management,13-1051.00,Cost Estimators
Management,25-1063.00,"Economics Teachers, Postsecondary"
Management,19-3011.00,Economists
Management,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
Management,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers
Management,51-1011.00,First-Line Supervisors of Production and Operating Workers
Management,11-1021.00,General and Operations Managers
Management,11-3051.02,Geothermal Production Managers
Management,11-3051.06,Hydroelectric Production Managers
Management,11-3051.00,Industrial Production Managers
Management,13-1081.00,Logisticians
Management,13-1111.00,Management Analysts
Management,11-9199.00,"Managers, All Other"
Management,13-1161.00,Market Research Analysts and Marketing Specialists
Management,11-9111.00,Medical and Health Services Managers
Management,11-3051.05,Methane/Landfill Gas Collection System Operators
Management,15-2031.00,Operations Research Analysts
Management,11-2031.00,Public Relations and Fundraising Managers
Management,27-3031.00,Public Relations Specialists
Management,11-3061.00,Purchasing Managers
Management,11-9199.01,Regulatory Affairs Managers
Management,11-2022.00,Sales Managers
Management,11-9151.00,Social and Community Service Managers
Management,39-1021.01,Spa Managers
Management,11-3071.02,Storage and Distribution Managers
Management,19-3022.00,Survey Researchers
Management,11-3071.01,Transportation Managers
Management,11-3071.00,"Transportation, Storage, and Distribution Managers"
Management,11-9199.09,Wind Energy Operations Managers
Management,11-9199.10,Wind Energy Project Managers
Marketing,11-2011.00,Advertising and Promotions Managers
Marketing,41-3011.00,Advertising Sales Agents
Marketing,27-1011.00,Art Directors
Marketing,25-1011.00,"Business Teachers, Postsecondary"
Marketing,25-1122.00,"Communications Teachers, Postsecondary"
Marketing,53-3031.00,Driver/Sales Workers
Marketing,27-3041.00,Editors
Marketing,11-2021.00,Marketing Managers
Marketing,11-2022.00,Sales Managers
Marketing,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
Marketing,27-3042.00,Technical Writers
Marketing,27-3043.00,Writers and Authors
