Career Pathway,Code,Occupation
Transportation Operations,53-3041.00,Taxi Drivers and Chauffeurs
Transportation Operations,53-6051.00,Transportation Inspectors
Transportation Operations,11-3071.01,Transportation Managers
Transportation Operations,53-6051.07,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation"
Transportation Operations,53-6099.00,"Transportation Workers, All Other"
Transportation Operations,11-3071.00,"Transportation, Storage, and Distribution Managers"
Transportation Operations,51-7099.00,"Woodworkers, All Other"
"Transportation Systems/Infrastructure Planning, Management and Regulation",53-6051.01,Aviation Inspectors
"Transportation Systems/Infrastructure Planning, Management and Regulation",13-1199.03,Customs Brokers
"Transportation Systems/Infrastructure Planning, Management and Regulation",53-6051.08,Freight and Cargo Inspectors
"Transportation Systems/Infrastructure Planning, Management and Regulation",53-6041.00,Traffic Technicians
"Transportation Systems/Infrastructure Planning, Management and Regulation",19-3099.01,Transportation Planners
"Transportation Systems/Infrastructure Planning, Management and Regulation",53-6051.07,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation"
Warehousing and Distribution Center Operations,53-1021.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand"
Warehousing and Distribution Center Operations,53-1031.00,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators
Warehousing and Distribution Center Operations,43-5011.01,Freight Forwarders
Warehousing and Distribution Center Operations,53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand"
Warehousing and Distribution Center Operations,53-7064.00,"Packers and Packagers, Hand"
Warehousing and Distribution Center Operations,43-5061.00,"Production, Planning, and Expediting Clerks"
Warehousing and Distribution Center Operations,43-5071.00,"Shipping, Receiving, and Traffic Clerks"
Warehousing and Distribution Center Operations,11-3071.02,Storage and Distribution Managers
Warehousing and Distribution Center Operations,11-9199.04,Supply Chain Managers
Warehousing and Distribution Center Operations,53-7121.00,"Tank Car, Truck, and Ship Loaders"
Warehousing and Distribution Center Operations,53-6041.00,Traffic Technicians
