Career Pathway,Code,Occupation
Diagnostic Services,29-2054.00,Respiratory Therapy Technicians
Diagnostic Services,29-2055.00,Surgical Technologists
Diagnostic Services,31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers
Health Informatics,11-3011.00,Administrative Services Managers
Health Informatics,43-3021.00,Billing and Posting Clerks
Health Informatics,13-1031.00,"Claims Adjusters, Examiners, and Investigators"
Health Informatics,13-1031.01,"Claims Examiners, Property and Casualty Insurance"
Health Informatics,19-3031.02,Clinical Psychologists
Health Informatics,25-1122.00,"Communications Teachers, Postsecondary"
Health Informatics,15-1111.00,Computer and Information Research Scientists
Health Informatics,15-1131.00,Computer Programmers
Health Informatics,15-1151.00,Computer User Support Specialists
Health Informatics,51-9081.00,Dental Laboratory Technicians
Health Informatics,27-3041.00,Editors
Health Informatics,17-2199.00,"Engineers, All Other"
Health Informatics,19-1041.00,Epidemiologists
Health Informatics,43-6011.00,Executive Secretaries and Executive Administrative Assistants
Health Informatics,27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators"
Health Informatics,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers
Health Informatics,21-1091.00,Health Educators
Health Informatics,25-1071.00,"Health Specialties Teachers, Postsecondary"
Health Informatics,15-1121.01,Informatics Nurse Specialists
Health Informatics,11-9111.00,Medical and Health Services Managers
Health Informatics,51-9082.00,Medical Appliance Technicians
Health Informatics,31-9092.00,Medical Assistants
Health Informatics,29-2071.00,Medical Records and Health Information Technicians
Health Informatics,43-6013.00,Medical Secretaries
Health Informatics,31-9094.00,Medical Transcriptionists
Health Informatics,21-1014.00,Mental Health Counselors
Health Informatics,29-9011.00,Occupational Health and Safety Specialists
Health Informatics,29-9012.00,Occupational Health and Safety Technicians
Health Informatics,29-1122.00,Occupational Therapists
Health Informatics,29-2091.00,Orthotists and Prosthetists
Health Informatics,29-1123.00,Physical Therapists
Health Informatics,19-2012.00,Physicists
Health Informatics,31-1013.00,Psychiatric Aides
Health Informatics,29-2053.00,Psychiatric Technicians
Health Informatics,27-3031.00,Public Relations Specialists
Health Informatics,43-4171.00,Receptionists and Information Clerks
Health Informatics,29-1125.00,Recreational Therapists
Health Informatics,21-1015.00,Rehabilitation Counselors
Health Informatics,15-1132.00,"Software Developers, Applications"
Health Informatics,21-1011.00,Substance Abuse and Behavioral Disorder Counselors
Health Informatics,29-1129.00,"Therapists, All Other"
Support Services,35-2012.00,"Cooks, Institution and Cafeteria"
Support Services,29-2051.00,Dietetic Technicians
Support Services,29-1031.00,Dietitians and Nutritionists
Support Services,25-9021.00,Farm and Home Management Advisors
Support Services,35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers
Support Services,51-3092.00,Food Batchmakers
Support Services,25-1192.00,"Home Economics Teachers, Postsecondary"
Support Services,21-1023.00,Mental Health and Substance Abuse Social Workers
Support Services,43-4051.03,Patient Representatives
Therapeutic Services,29-1199.01,Acupuncturists
Therapeutic Services,29-1141.01,Acute Care Nurses
Therapeutic Services,29-1141.02,Advanced Practice Psychiatric Nurses
Therapeutic Services,29-1069.01,Allergists and Immunologists
Therapeutic Services,29-1071.01,Anesthesiologist Assistants
Therapeutic Services,29-1061.00,Anesthesiologists
Therapeutic Services,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary"
Therapeutic Services,29-9091.00,Athletic Trainers
Therapeutic Services,29-1181.00,Audiologists
Therapeutic Services,29-1011.00,Chiropractors
Therapeutic Services,29-1141.04,Clinical Nurse Specialists
Therapeutic Services,19-3031.02,Clinical Psychologists
Therapeutic Services,19-3031.00,"Clinical, Counseling, and School Psychologists"
Therapeutic Services,21-1099.00,"Community and Social Service Specialists, All Other"
Therapeutic Services,19-3031.03,Counseling Psychologists
Therapeutic Services,21-1019.00,"Counselors, All Other"
Therapeutic Services,29-1141.03,Critical Care Nurses
Therapeutic Services,31-9091.00,Dental Assistants
Therapeutic Services,29-2021.00,Dental Hygienists
Therapeutic Services,51-9081.00,Dental Laboratory Technicians
Therapeutic Services,29-1029.00,"Dentists, All Other Specialists"
Therapeutic Services,29-1021.00,"Dentists, General"
Therapeutic Services,29-1069.02,Dermatologists
Therapeutic Services,29-2032.00,Diagnostic Medical Sonographers
Therapeutic Services,29-2051.00,Dietetic Technicians
Therapeutic Services,29-1031.00,Dietitians and Nutritionists
Therapeutic Services,31-9099.02,Endoscopy Technicians
Therapeutic Services,29-1062.00,Family and General Practitioners
Therapeutic Services,29-9092.00,Genetic Counselors
Therapeutic Services,29-1199.00,"Health Diagnosing and Treating Practitioners, All Other"
Therapeutic Services,25-1071.00,"Health Specialties Teachers, Postsecondary"
Therapeutic Services,29-2099.00,"Health Technologists and Technicians, All Other"
Therapeutic Services,29-9099.00,"Healthcare Practitioners and Technical Workers, All Other"
Therapeutic Services,31-9099.00,"Healthcare Support Workers, All Other"
Therapeutic Services,29-2092.00,Hearing Aid Specialists
Therapeutic Services,31-1011.00,Home Health Aides
Therapeutic Services,29-1069.03,Hospitalists
Therapeutic Services,19-3032.00,Industrial-Organizational Psychologists
Therapeutic Services,29-1063.00,"Internists, General"
Therapeutic Services,29-2061.00,Licensed Practical and Licensed Vocational Nurses
Therapeutic Services,19-4099.00,"Life, Physical, and Social Science Technicians, All Other"
Therapeutic Services,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists"
Therapeutic Services,31-9011.00,Massage Therapists
Therapeutic Services,29-2012.00,Medical and Clinical Laboratory Technicians
Therapeutic Services,11-9111.00,Medical and Health Services Managers
Therapeutic Services,31-9092.00,Medical Assistants
Therapeutic Services,31-9093.00,Medical Equipment Preparers
Therapeutic Services,19-1042.00,"Medical Scientists, Except Epidemiologists"
Therapeutic Services,43-6013.00,Medical Secretaries
Therapeutic Services,29-9099.01,Midwives
Therapeutic Services,27-2042.02,"Musicians, Instrumental"
Therapeutic Services,29-1199.04,Naturopathic Physicians
Therapeutic Services,29-1069.04,Neurologists
Therapeutic Services,19-3039.01,Neuropsychologists and Clinical Neuropsychologists
Therapeutic Services,29-1069.05,Nuclear Medicine Physicians
Therapeutic Services,29-2033.00,Nuclear Medicine Technologists
Therapeutic Services,19-4051.02,Nuclear Monitoring Technicians
Therapeutic Services,29-1151.00,Nurse Anesthetists
Therapeutic Services,29-1161.00,Nurse Midwives
Therapeutic Services,29-1171.00,Nurse Practitioners
Therapeutic Services,31-1014.00,Nursing Assistants
Therapeutic Services,25-1072.00,"Nursing Instructors and Teachers, Postsecondary"
Therapeutic Services,29-1064.00,Obstetricians and Gynecologists
Therapeutic Services,29-9012.00,Occupational Health and Safety Technicians
Therapeutic Services,29-1122.00,Occupational Therapists
Therapeutic Services,31-2012.00,Occupational Therapy Aides
Therapeutic Services,31-2011.00,Occupational Therapy Assistants
Therapeutic Services,51-9083.00,Ophthalmic Laboratory Technicians
Therapeutic Services,29-1069.06,Ophthalmologists
Therapeutic Services,29-2081.00,"Opticians, Dispensing"
Therapeutic Services,29-1041.00,Optometrists
Therapeutic Services,29-1022.00,Oral and Maxillofacial Surgeons
Therapeutic Services,31-1015.00,Orderlies
Therapeutic Services,29-1023.00,Orthodontists
Therapeutic Services,29-1199.05,Orthoptists
Therapeutic Services,29-2091.00,Orthotists and Prosthetists
Therapeutic Services,29-1069.07,Pathologists
Therapeutic Services,29-1065.00,"Pediatricians, General"
Therapeutic Services,29-1051.00,Pharmacists
Therapeutic Services,31-9095.00,Pharmacy Aides
Therapeutic Services,29-2052.00,Pharmacy Technicians
Therapeutic Services,29-1069.08,Physical Medicine and Rehabilitation Physicians
Therapeutic Services,31-2022.00,Physical Therapist Aides
Therapeutic Services,31-2021.00,Physical Therapist Assistants
Therapeutic Services,29-1123.00,Physical Therapists
Therapeutic Services,29-1071.00,Physician Assistants
Therapeutic Services,29-1069.00,"Physicians and Surgeons, All Other"
Therapeutic Services,29-1081.00,Podiatrists
Therapeutic Services,29-1069.09,Preventive Medicine Physicians
Therapeutic Services,29-1024.00,Prosthodontists
Therapeutic Services,31-1013.00,Psychiatric Aides
Therapeutic Services,29-2053.00,Psychiatric Technicians
Therapeutic Services,29-1066.00,Psychiatrists
Therapeutic Services,19-3039.00,"Psychologists, All Other"
Therapeutic Services,25-1066.00,"Psychology Teachers, Postsecondary"
Therapeutic Services,29-1124.00,Radiation Therapists
Therapeutic Services,29-2099.06,Radiologic Technicians
Therapeutic Services,29-2034.00,Radiologic Technologists
Therapeutic Services,29-1125.00,Recreational Therapists
Therapeutic Services,29-1141.00,Registered Nurses
Therapeutic Services,29-1126.00,Respiratory Therapists
Therapeutic Services,29-2054.00,Respiratory Therapy Technicians
Therapeutic Services,19-3031.01,School Psychologists
Therapeutic Services,27-2042.01,Singers
Therapeutic Services,21-1093.00,Social and Human Service Assistants
Therapeutic Services,29-1127.00,Speech-Language Pathologists
Therapeutic Services,31-9099.01,Speech-Language Pathology Assistants
Therapeutic Services,29-1069.11,Sports Medicine Physicians
Therapeutic Services,21-1011.00,Substance Abuse and Behavioral Disorder Counselors
Therapeutic Services,29-1067.00,Surgeons
Therapeutic Services,29-2055.00,Surgical Technologists
Therapeutic Services,29-1129.00,"Therapists, All Other"
Therapeutic Services,29-1069.12,Urologists
Therapeutic Services,29-1131.00,Veterinarians
Therapeutic Services,29-2056.00,Veterinary Technologists and Technicians
