group;friendlyName;description;target;rights
PatentlyWorldShakingDiathesis;PatentlyWorldShakingDiathesis;Elongates Siobhan to the catacombs;PatentlyWorldShakingDiathesisCATACOMB;OBSERVE,WRITE
DeadpanFeatheryDramas;DeadpanFeatheryDramas;Stand-bys Ambrosia to the tombs;DeadpanFeatheryDramasTOMB;ADJUST
TwitteringlyCholagoguePsammites;TwitteringlyCholagoguePsammites;Flusters Raincoats to the receptacles;TwitteringlyCholagoguePsammitesRECEPTACLE;STROKE,WRITE
PrayinglyUveousPeas;PrayinglyUveousPeas;Barters Naked option to the caches;PrayinglyUveousPeasCACHE;READ,WRITE,RENAME,STROKE,PUNCH,OBSERVE
PerplexinglyGraspableScreeches;PerplexinglyGraspableScreeches;Misdoings Cental to the treasure houses;PerplexinglyGraspableScreechesTREASURE HOUSE;OBSERVE,WRITE,RENAME
ElementallyFlaringStinkers;ElementallyFlaringStinkers;Eulogizes Hailers to the depots;ElementallyFlaringStinkersDEPOT;EXECUTE,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ
SaltishlyContextualUselessness;SaltishlyContextualUselessness;Sags Scolopacidae to the warehouses;SaltishlyContextualUselessnessWAREHOUSE;PUNCH
GoodNaturedlyLuckierSpews;GoodNaturedlyLuckierSpews;Albumenises Tittle-tattler to the treasurys;GoodNaturedlyLuckierSpewsTREASURY;STEW,WRITE,RENAME
ImpiouslyPeloricHelminthiasis;ImpiouslyPeloricHelminthiasis;Fructifies Anabaptism to the funds;ImpiouslyPeloricHelminthiasisFUND;FIST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ
InFiscalMattersIsostemonousLekythoses;InFiscalMattersIsostemonousLekythoses;Gelatinates Mho to the archives;InFiscalMattersIsostemonousLekythosesARCHIVE;EXECUTE,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW
PhysicallyGalvanoplasticKermis;PhysicallyGalvanoplasticKermis;Pebbles Follows to the caverns;PhysicallyGalvanoplasticKermisCAVERN;FONDLE,WRITE
TruncatelyGardantLuncheons;TruncatelyGardantLuncheons;Pains Ferrule to the safes;TruncatelyGardantLuncheonsSAFE;STEW,WRITE,RENAME
AfternoonsUncleanedChurrs;AfternoonsUncleanedChurrs;Watermarks Fitfulness to the treasurys;AfternoonsUncleanedChurrsTREASURY;LAUGH,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ
AbidinglyDissonantStroganoffs;AbidinglyDissonantStroganoffs;Proses Calibers to the funds;AbidinglyDissonantStroganoffsFUND;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE
SmoothSpellbindingAccusers;SmoothSpellbindingAccusers;Hoists Low brass to the strongrooms;SmoothSpellbindingAccusersSTRONGROOM;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW
UnartificiallyTestateCommonalities;UnartificiallyTestateCommonalities;Phosphorises Vipers to the tombs;UnartificiallyTestateCommonalitiesTOMB;LAUGH,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE,ADJUST,FIST
AdditivelyManMadeRidicules;AdditivelyManMadeRidicules;Smiles Anoesis to the spaces;AdditivelyManMadeRidiculesSPACE;LAUGH,WRITE,RENAME,STROKE
ForbearinglyUnamendedMatriculates;ForbearinglyUnamendedMatriculates;Decrees Placentation to the safes;ForbearinglyUnamendedMatriculatesSAFE;PUNCH
DolorosoCardinalLiquidityCrisis;DolorosoCardinalLiquidityCrisis;Resorts Decarbonization to the crypts;DolorosoCardinalLiquidityCrisisCRYPT;STEW
InextinguishablyPhlegmiestSasines;InextinguishablyPhlegmiestSasines;Transvalues Genus Mus to the spaces;InextinguishablyPhlegmiestSasinesSPACE;EXECUTE,WRITE,RENAME,STROKE,PUNCH,OBSERVE
InexactlySkiableWyes;InexactlySkiableWyes;Lullabies Gangbang to the scopes;InexactlySkiableWyesSCOPE;PUNCH,WRITE,RENAME,STROKE
PermissivelySurfacePisciculturists;PermissivelySurfacePisciculturists;Circles Clumber to the rooms;PermissivelySurfacePisciculturistsROOM;STEW,WRITE,RENAME,STROKE,PUNCH
LogarithmicallyCloserGenusCracticus;LogarithmicallyCloserGenusCracticus;Lours Sinfoniettas to the treasure houses;LogarithmicallyCloserGenusCracticusTREASURE HOUSE;ADJUST,WRITE,RENAME,STROKE,PUNCH
NonviolentlySewnRadicles;NonviolentlySewnRadicles;Thatches Mizenmast to the suites;NonviolentlySewnRadiclesSUITE;STEW
MurkilyAnsweringEnterotomies;MurkilyAnsweringEnterotomies;Spokes Tews to the apartmentss;MurkilyAnsweringEnterotomiesAPARTMENTS;FIST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW
ChristianHypnotisticSmallHours;ChristianHypnotisticSmallHours;Throttlings Copecks to the billets;ChristianHypnotisticSmallHoursBILLET;PUNCH,WRITE,RENAME
ScorchinglyHomiestCorrals;ScorchinglyHomiestCorrals;Bridles Poppy to the undercrofts;ScorchinglyHomiestCorralsUNDERCROFT;OBSERVE,WRITE
SpaciouslyKookierSkateboarders;SpaciouslyKookierSkateboarders;Bottle-feeds Rackham to the volumes;SpaciouslyKookierSkateboardersVOLUME;STROKE,WRITE
HydrologicallyDewlappedSphecotheres;HydrologicallyDewlappedSphecotheres;Outvalues Grader to the burial chambers;HydrologicallyDewlappedSphecotheresBURIAL CHAMBER;EXECUTE,WRITE,RENAME,STROKE,PUNCH
ActinallyCallousedGitterns;ActinallyCallousedGitterns;Disgavels Butene to the safes;ActinallyCallousedGitternsSAFE;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE,ADJUST
InANutshellExponiblePagodas;InANutshellExponiblePagodas;Underpins Wynne to the depots;InANutshellExponiblePagodasDEPOT;FIST
UnconformablyUnbiddenAnastomus;UnconformablyUnbiddenAnastomus;Trephines Topi to the treasure houses;UnconformablyUnbiddenAnastomusTREASURE HOUSE;OBSERVE,WRITE,RENAME
SinginglyLowNeckedRunUps;SinginglyLowNeckedRunUps;Grafts Flame tokay to the depots;SinginglyLowNeckedRunUpsDEPOT;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE
PermissivelyParamilitaryMutterings;PermissivelyParamilitaryMutterings;Warbles Meteoroid to the suites;PermissivelyParamilitaryMutteringsSUITE;FONDLE,WRITE
NudelyTroglodyticSmacks;NudelyTroglodyticSmacks;Sleaves Barrow-boys to the billets;NudelyTroglodyticSmacksBILLET;LICK,WRITE
DefinitivelyAllImportantLitres;DefinitivelyAllImportantLitres;Pups Cookery to the banks;DefinitivelyAllImportantLitresBANK;LAUGH,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE
JustInTimeSilurianReferents;JustInTimeSilurianReferents;Unlinks Yttria to the volumes;JustInTimeSilurianReferentsVOLUME;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW
VorticallyButtonyBuildings;VorticallyButtonyBuildings;Crucifies Dzos to the expanses;VorticallyButtonyBuildingsEXPANSE;EXECUTE,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ
ResentfullyWeepyChumminess;ResentfullyWeepyChumminess;Despumates Marketableness to the mines;ResentfullyWeepyChumminessMINE;LAUGH,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE,ADJUST,FIST
IndiscriminatelyIgnescentBestowments;IndiscriminatelyIgnescentBestowments;Enlarges Gondang wax to the spaces;IndiscriminatelyIgnescentBestowmentsSPACE;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE,ADJUST,FIST
WoundinglyPenitentHoneycombs;WoundinglyPenitentHoneycombs;Cheats Steersman to the strongrooms;WoundinglyPenitentHoneycombsSTRONGROOM;FONDLE,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW
BearishlyOdontoidStalags;BearishlyOdontoidStalags;Measurings Metamers to the cellars;BearishlyOdontoidStalagsCELLAR;LAUGH,WRITE,RENAME,STROKE
TherebyUnlaidIndispositions;TherebyUnlaidIndispositions;Come-ons Gold medal to the caverns;TherebyUnlaidIndispositionsCAVERN;ADJUST,WRITE,RENAME,STROKE,PUNCH,OBSERVE
DrippilyUngussetedPediatrics;DrippilyUngussetedPediatrics;Dins Lifespan to the underground chambers;DrippilyUngussetedPediatricsUNDERGROUND CHAMBER;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW
LucidlyHairedSwingings;LucidlyHairedSwingings;Befits Spun sugar to the receptacles;LucidlyHairedSwingingsRECEPTACLE;ADJUST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ
FinedGlabrateHelmets;FinedGlabrateHelmets;Grooms Oral exam to the treasures;FinedGlabrateHelmetsTREASURE;FONDLE,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ
GoodAndNerveRackingCtenocephalides;GoodAndNerveRackingCtenocephalides;Sponge-downs Trionyx to the funds;GoodAndNerveRackingCtenocephalidesFUND;EXECUTE,WRITE,RENAME
GapinglyAwashLauras;GapinglyAwashLauras;Orphans Qur'an to the containers;GapinglyAwashLaurasCONTAINER;LAUGH,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW
RevilinglyHearingImpairedImides;RevilinglyHearingImpairedImides;Gangs Xiphias gladius to the storerooms;RevilinglyHearingImpairedImidesSTOREROOM;LAUGH,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE
SeraphicallyUnsensibleBarbicans;SeraphicallyUnsensibleBarbicans;Hippings Bronx to the undercrofts;SeraphicallyUnsensibleBarbicansUNDERCROFT;ADJUST,WRITE,RENAME
InsupportablyNudicaulGratings;InsupportablyNudicaulGratings;Swanks Drip loop to the treasurys;InsupportablyNudicaulGratingsTREASURY;LAUGH,WRITE,RENAME
InterpretativelyInaptMucopolysaccharidosis;InterpretativelyInaptMucopolysaccharidosis;Coffers Bermuda to the places;InterpretativelyInaptMucopolysaccharidosisPLACE;FIST,WRITE,RENAME
EffeminatelyMetamericGlaucus;EffeminatelyMetamericGlaucus;Fends Polymaths to the suites;EffeminatelyMetamericGlaucusSUITE;EXECUTE,WRITE,RENAME
DolorouslyBasinalAnaplerosis;DolorouslyBasinalAnaplerosis;Sanitises Marten cat to the resrvoirs;DolorouslyBasinalAnaplerosisRESRVOIR;RENAME
ToALesserExtentBrinishCandidacies;ToALesserExtentBrinishCandidacies;Unrigs Ice tea to the places;ToALesserExtentBrinishCandidaciesPLACE;LICK
BeadilyLimitropheDamsons;BeadilyLimitropheDamsons;Exculpates Alerts to the accommodations;BeadilyLimitropheDamsonsACCOMMODATION;STEW,WRITE,RENAME,STROKE,PUNCH
EnowContinuousMaimonides;EnowContinuousMaimonides;Intimates Draughtboards to the repertorys;EnowContinuousMaimonidesREPERTORY;PUNCH,WRITE
PocoPlumbedSouters;PocoPlumbedSouters;Mouths Harems to the expanses;PocoPlumbedSoutersEXPANSE;FIST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE,ADJUST
VibrantlyComprehendedFirebugs;VibrantlyComprehendedFirebugs;Scroops Bangui to the cellars;VibrantlyComprehendedFirebugsCELLAR;STEW
SaturdaysStructuralHydroskis;SaturdaysStructuralHydroskis;Gnashes Slovaks to the tombs;SaturdaysStructuralHydroskisTOMB;OBSERVE,WRITE
AssuminglyEmpiricalGenusLachnolaimus;AssuminglyEmpiricalGenusLachnolaimus;Nickers Engagements to the rooms;AssuminglyEmpiricalGenusLachnolaimusROOM;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE
DissymmetricallyMicrocephalousEphemerids;DissymmetricallyMicrocephalousEphemerids;Ambuscades Paedobaptism to the safety deposits;DissymmetricallyMicrocephalousEphemeridsSAFETY DEPOSIT;FONDLE,WRITE,RENAME,STROKE,PUNCH,OBSERVE
AcquisitivelyBipedGregories;AcquisitivelyBipedGregories;Routinizes Erethizontidae to the caches;AcquisitivelyBipedGregoriesCACHE;FONDLE,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ
NeitherThreadySpikiness;NeitherThreadySpikiness;Testes Emetine to the catacombs;NeitherThreadySpikinessCATACOMB;FIST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ
ToTheLetterCalcaneanDiabeticAcidosis;ToTheLetterCalcaneanDiabeticAcidosis;Misterms Escalade to the repositorys;ToTheLetterCalcaneanDiabeticAcidosisREPOSITORY;STROKE,WRITE
AllOverLooseLimbedAstrodynamics;AllOverLooseLimbedAstrodynamics;Stickles Bitumastic to the billets;AllOverLooseLimbedAstrodynamicsBILLET;READ,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW
AtFirstGlanceDativalSissoos;AtFirstGlanceDativalSissoos;Splices Appetence to the receptacles;AtFirstGlanceDativalSissoosRECEPTACLE;PUNCH,WRITE
VectoriallyBiradialWingspans;VectoriallyBiradialWingspans;Revets Backyards to the chambers;VectoriallyBiradialWingspansCHAMBER;ADJUST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE
PyramidallySuburbanSociolinguistics;PyramidallySuburbanSociolinguistics;Glugs Cleveland to the accommodations;PyramidallySuburbanSociolinguisticsACCOMMODATION;OBSERVE,WRITE,RENAME
OnAnIndividualBasisWellWishingGiglets;OnAnIndividualBasisWellWishingGiglets;Smokings Nicads to the treasures;OnAnIndividualBasisWellWishingGigletsTREASURE;ADJUST,WRITE,RENAME,STROKE
ScowlinglyAnthroposophicalTownies;ScowlinglyAnthroposophicalTownies;Overshoots Mony to the warehouses;ScowlinglyAnthroposophicalTowniesWAREHOUSE;EXECUTE
ThirdlyWashedOutLassos;ThirdlyWashedOutLassos;Enspheres Red-water to the depositorys;ThirdlyWashedOutLassosDEPOSITORY;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE
InVitroTauromachianChieftaincies;InVitroTauromachianChieftaincies;Transgress Desolater to the expanses;InVitroTauromachianChieftainciesEXPANSE;FIST,WRITE,RENAME,STROKE,PUNCH
UnbeknownPursuedQuills;UnbeknownPursuedQuills;Concocts Leonardo to the burial chambers;UnbeknownPursuedQuillsBURIAL CHAMBER;FONDLE,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE
DailyAdventuresomeQuorums;DailyAdventuresomeQuorums;Tinctures Swastika to the treasurys;DailyAdventuresomeQuorumsTREASURY;EXECUTE,WRITE,RENAME,STROKE,PUNCH,OBSERVE
NosilyRetroOperativeGenusPresbytes;NosilyRetroOperativeGenusPresbytes;Phototypes Legators to the resrvoirs;NosilyRetroOperativeGenusPresbytesRESRVOIR;LICK,WRITE
IndividualisticallyUnlikeableVapourishness;IndividualisticallyUnlikeableVapourishness;Unchains Ducker to the treasure troves;IndividualisticallyUnlikeableVapourishnessTREASURE TROVE;LAUGH
DeprecatorilyRancorousRitters;DeprecatorilyRancorousRitters;Underexposes Abingdon to the safety deposits;DeprecatorilyRancorousRittersSAFETY DEPOSIT;EXECUTE,WRITE,RENAME
PeremptorilyUnaffectingBascules;PeremptorilyUnaffectingBascules;Exserts Ground rule to the chambers;PeremptorilyUnaffectingBasculesCHAMBER;STEW,WRITE
ApieceTwiggiestSuaveness;ApieceTwiggiestSuaveness;Pegs Shinto to the quarterss;ApieceTwiggiestSuavenessQUARTERS;STEW,WRITE,RENAME,STROKE,PUNCH
ToThatExtentJurisprudentialInformers;ToThatExtentJurisprudentialInformers;Traces Ocker to the abodes;ToThatExtentJurisprudentialInformersABODE;READ,WRITE,RENAME,STROKE
AntipatheticallyTarmacadamSyncopators;AntipatheticallyTarmacadamSyncopators;Frizzes Peristomes to the spaces;AntipatheticallyTarmacadamSyncopatorsSPACE;LICK,WRITE
UngraciouslyTwoFistedColeus;UngraciouslyTwoFistedColeus;Tailors Carbonation to the storerooms;UngraciouslyTwoFistedColeusSTOREROOM;READ,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW
HiddenlyUninformingMyosotis;HiddenlyUninformingMyosotis;Rucks Cochleas to the depositorys;HiddenlyUninformingMyosotisDEPOSITORY;LAUGH,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE
NotToMentionExploitableSojourns;NotToMentionExploitableSojourns;Postils Geomorphologist to the depots;NotToMentionExploitableSojournsDEPOT;STEW,WRITE,RENAME
ProgressivelySmuttyJodhpurs;ProgressivelySmuttyJodhpurs;Lathers Basic color to the places;ProgressivelySmuttyJodhpursPLACE;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE
PlasticallySubservientAspens;PlasticallySubservientAspens;Underbids Subroutines to the funds;PlasticallySubservientAspensFUND;EXECUTE,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW
FeelinglyUndisputedDiscomycetes;FeelinglyUndisputedDiscomycetes;Resalutes Oncologists to the treasure troves;FeelinglyUndisputedDiscomycetesTREASURE TROVE;FIST,WRITE,RENAME,STROKE,PUNCH,OBSERVE
FutilelyAntiphrasticRatifiers;FutilelyAntiphrasticRatifiers;Welches Hagdons to the volumes;FutilelyAntiphrasticRatifiersVOLUME;LICK,WRITE,RENAME
AtoninglyCharismaticHyphens;AtoninglyCharismaticHyphens;Unreeves Lockup to the quarterss;AtoninglyCharismaticHyphensQUARTERS;LAUGH,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE
FarcicallyBillowingPoisons;FarcicallyBillowingPoisons;Flecks Gallowglass to the depositorys;FarcicallyBillowingPoisonsDEPOSITORY;FIST,WRITE,RENAME,STROKE
SoakingOverdelicateOnychosis;SoakingOverdelicateOnychosis;Conciliates Planter's punch to the places;SoakingOverdelicateOnychosisPLACE;STEW,WRITE,RENAME,STROKE,PUNCH
ContradictiouslyExstipulateBatatas;ContradictiouslyExstipulateBatatas;Titrates Cheddar cheese to the apartmentss;ContradictiouslyExstipulateBatatasAPARTMENTS;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE
AnthropologicallyInsupportableAbiogenesis;AnthropologicallyInsupportableAbiogenesis;Refluxes Slypes to the accommodations;AnthropologicallyInsupportableAbiogenesisACCOMMODATION;OBSERVE
WearyinglyLongerWoomerangs;WearyinglyLongerWoomerangs;Temporizings Tantalizers to the crypts;WearyinglyLongerWoomerangsCRYPT;LAUGH,WRITE
HorriblySuperserviceableSwashes;HorriblySuperserviceableSwashes;Vignettes Wartwort to the banks;HorriblySuperserviceableSwashesBANK;LAUGH,WRITE,RENAME,STROKE,PUNCH
AroundTheClockPercipientWarbles;AroundTheClockPercipientWarbles;Palisades Bell-ringer to the safety deposits;AroundTheClockPercipientWarblesSAFETY DEPOSIT;FONDLE,WRITE,RENAME,STROKE,PUNCH
DisproportionablyPachydermicFrauds;DisproportionablyPachydermicFrauds;Larns Zebus to the areas;DisproportionablyPachydermicFraudsAREA;OBSERVE
TreacherouslyCushionyEncoignures;TreacherouslyCushionyEncoignures;Produces Sion to the treasures;TreacherouslyCushionyEncoignuresTREASURE;STEW,WRITE
StringendoUntrammelledLutjanus;StringendoUntrammelledLutjanus;Intrenches Graupels to the underground chambers;StringendoUntrammelledLutjanusUNDERGROUND CHAMBER;OBSERVE,WRITE,RENAME,STROKE
PrestoAnomalisticDiaphoresis;PrestoAnomalisticDiaphoresis;Roots Appreciation to the caverns;PrestoAnomalisticDiaphoresisCAVERN;FIST
InAbsentiaTrickiestMuskets;InAbsentiaTrickiestMuskets;Devitrifies Medical procedure to the treasurys;InAbsentiaTrickiestMusketsTREASURY;ADJUST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ
EtAlUShapedAnnapolis;EtAlUShapedAnnapolis;Bonks Drone to the treasures;EtAlUShapedAnnapolisTREASURE;FONDLE,WRITE,RENAME,STROKE,PUNCH
MetallicallyLophobranchPencels;MetallicallyLophobranchPencels;Reburies Commos to the archives;MetallicallyLophobranchPencelsARCHIVE;ADJUST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE
UpsidesNonpersistentCatachresis;UpsidesNonpersistentCatachresis;Preconcerts Cyanite to the depots;UpsidesNonpersistentCatachresisDEPOT;LAUGH,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE
AnisotropicallyKnackeredCrinoids;AnisotropicallyKnackeredCrinoids;Pulses Lexington to the safety deposits;AnisotropicallyKnackeredCrinoidsSAFETY DEPOSIT;EXECUTE,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ
LegislativelyRhinoceroticMuscadels;LegislativelyRhinoceroticMuscadels;Advises Tupaia to the abodes;LegislativelyRhinoceroticMuscadelsABODE;ADJUST,WRITE,RENAME,STROKE,PUNCH
FormerlyPenileDistrustfulness;FormerlyPenileDistrustfulness;Signalizes Subclass Holocephali to the warehouses;FormerlyPenileDistrustfulnessWAREHOUSE;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE,ADJUST
ChampionUppermostScantlings;ChampionUppermostScantlings;Coiffures Endoplasms to the chambers;ChampionUppermostScantlingsCHAMBER;ADJUST,WRITE
MeteoricallyDumpedClovis;MeteoricallyDumpedClovis;Inclasps Pterodactyl to the stores;MeteoricallyDumpedClovisSTORE;LICK
CapitularlyIntercitySheriffs;CapitularlyIntercitySheriffs;Democratizes Sea lane to the basements;CapitularlyIntercitySheriffsBASEMENT;LAUGH,WRITE,RENAME,STROKE,PUNCH,OBSERVE
FloridlyEpisodicCascades;FloridlyEpisodicCascades;Sleaves Impounding to the territorys;FloridlyEpisodicCascadesTERRITORY;OBSERVE,WRITE
SincerelyYoursVertiginousPredicates;SincerelyYoursVertiginousPredicates;Liquors Emotional disorder to the treasure houses;SincerelyYoursVertiginousPredicatesTREASURE HOUSE;READ,WRITE,RENAME,STROKE,PUNCH,OBSERVE
PersonToPersonRestitutoryJewelledHeaddress;PersonToPersonRestitutoryJewelledHeaddress;Closures Lorises to the billets;PersonToPersonRestitutoryJewelledHeaddressBILLET;FONDLE,WRITE,RENAME
UnavailinglyMetastaticRhumbas;UnavailinglyMetastaticRhumbas;Tents Essex to the archives;UnavailinglyMetastaticRhumbasARCHIVE;FONDLE,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE
MechanisticallyUlcerousMonochamus;MechanisticallyUlcerousMonochamus;Fashions Whisperers to the repositorys;MechanisticallyUlcerousMonochamusREPOSITORY;OBSERVE,WRITE,RENAME,STROKE,PUNCH
LikeRoyaltyClarionRemorselessness;LikeRoyaltyClarionRemorselessness;Journalises Escapes to the strongrooms;LikeRoyaltyClarionRemorselessnessSTRONGROOM;ADJUST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ
ForebodinglyPitchiestBonesets;ForebodinglyPitchiestBonesets;Blackouts Vertebra to the caverns;ForebodinglyPitchiestBonesetsCAVERN;ADJUST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE
ThroughAnExperimentPlushestOveralls;ThroughAnExperimentPlushestOveralls;Euphonises Dabbling duck to the depositorys;ThroughAnExperimentPlushestOverallsDEPOSITORY;FIST,WRITE,RENAME,STROKE,PUNCH,OBSERVE
InTwoWaysMiscreateGenusPristis;InTwoWaysMiscreateGenusPristis;Scowls Longshoreman to the safe deposits;InTwoWaysMiscreateGenusPristisSAFE DEPOSIT;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW
MomentouslySpondyliticTributes;MomentouslySpondyliticTributes;Demarcates Arcuations to the closets;MomentouslySpondyliticTributesCLOSET;LICK
ConfoundedlyAconiticBawlers;ConfoundedlyAconiticBawlers;Frets Chooser to the stores;ConfoundedlyAconiticBawlersSTORE;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE,ADJUST,FIST
StepByStepEmpyrealSchnaps;StepByStepEmpyrealSchnaps;Relieves Outfielders to the stores;StepByStepEmpyrealSchnapsSTORE;LAUGH,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ
AthleticallyBranNewDudeens;AthleticallyBranNewDudeens;Tends Canailles to the suites;AthleticallyBranNewDudeensSUITE;OBSERVE
LinguallyAntidotalKnighthoods;LinguallyAntidotalKnighthoods;Keeks Ringgit to the places;LinguallyAntidotalKnighthoodsPLACE;STEW,WRITE,RENAME,STROKE,PUNCH,OBSERVE
VolumetricallyRipRoaringFreshmanships;VolumetricallyRipRoaringFreshmanships;Recures Synonymists to the digss;VolumetricallyRipRoaringFreshmanshipsDIGS;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE
CryptographyPatronymicBordels;CryptographyPatronymicBordels;Bird's-nests Bottlefuls to the cellars;CryptographyPatronymicBordelsCELLAR;LAUGH,WRITE,RENAME,STROKE
DisingenuouslyPotassicPacifiers;DisingenuouslyPotassicPacifiers;Deviates Legatee to the undercrofts;DisingenuouslyPotassicPacifiersUNDERCROFT;FONDLE,WRITE,RENAME,STROKE
